switchgear_id;switchgear_name;element_id;element_name;component_id;component_name;switchgear_status;conditions
1;КРУЭ-220кВ;4;ЭВ-220 КВЛ Псоу;3;ЛР(ТР)-220;;Здесь будут условия на ЛР(ТР)-220 КВЛ Псоу
1;КРУЭ-220кВ;4;ЭВ-220 КВЛ Псоу;4;ЗН ЛР(ТР)-220;;Здесь будут условия на ЗН ЛР(ТР)-220 КВЛ Псоу
1;КРУЭ-220кВ;4;ЭВ-220 КВЛ Псоу;5;ШР-220;;Здесь будут условия на ШР-220 КВЛ Псоу
1;КРУЭ-220кВ;4;ЭВ-220 КВЛ Псоу;6;ЗН ШР-220;;Здесь будут условия на ЗН ШР-220 КВЛ Псоу
1;КРУЭ-220кВ;5;ЭВ-220 ШСЭВ;1;ЭВ-220;;Здесь будут условия на ЭВ-220 ШСЭВ
1;КРУЭ-220кВ;5;ЭВ-220 ШСЭВ;2;ЗН ЭВ-220;;Здесь будут условия на ЗН ЭВ-220 ШСЭВ
1;КРУЭ-220кВ;5;ЭВ-220 ШСЭВ;3;ЛР(ТР)-220;;Здесь будут условия на ЛР(ТР)-220 ШСЭВ
1;КРУЭ-220кВ;5;ЭВ-220 ШСЭВ;4;ЗН ЛР(ТР)-220;;Здесь будут условия на ЗН ЛР(ТР)-220 ШСЭВ
1;КРУЭ-220кВ;5;ЭВ-220 ШСЭВ;5;ШР-220;;Здесь будут условия на ШР-220 ШСЭВ
1;КРУЭ-220кВ;5;ЭВ-220 ШСЭВ;6;ЗН ШР-220;;Здесь будут условия на ЗН ШР-220 ШСЭВ
1;КРУЭ-220кВ;6;ТН-220 1,2 СШ;1;ЭВ-220;;Здесь будут условия на ТН-220 1,2 СШ
1;КРУЭ-220кВ;6;ТН-220 1,2 СШ;2;ЗН ЭВ-220;;Здесь будут условия на ЗН ЭВ-220
1;КРУЭ-220кВ;6;ТН-220 1,2 СШ;3;ЛР(ТР)-220;;Здесь будут условия на ЛР(ТР)-220
1;КРУЭ-220кВ;6;ТН-220 1,2 СШ;4;ЗН ЛР(ТР)-220;;Здесь будут условия на ЗН ЛР(ТР)-220
1;КРУЭ-220кВ;6;ТН-220 1,2 СШ;5;ШР-220;;Здесь будут условия на ШР-220
1;КРУЭ-220кВ;6;ТН-220 1,2 СШ;6;ЗН ШР-220;;Здесь будут условия на ЗН ШР-220
1;КРУЭ-220кВ;7;ЭВ-220 АТ-1;1;ЭВ-220;;Здесь будут условия на ЭВ-220
1;КРУЭ-220кВ;7;ЭВ-220 АТ-1;2;ЗН ЭВ-220;;Здесь будут условия на ЗН ЭВ-220
1;КРУЭ-220кВ;7;ЭВ-220 АТ-1;3;ЛР(ТР)-220;;Здесь будут условия на ЛР(ТР)-220
1;КРУЭ-220кВ;7;ЭВ-220 АТ-1;4;ЗН ЛР(ТР)-220;;Здесь будут условия на ЗН ЛР(ТР)-220
1;КРУЭ-220кВ;7;ЭВ-220 АТ-1;5;ШР-220;;Здесь будут условия на ШР-220
1;КРУЭ-220кВ;7;ЭВ-220 АТ-1;6;ЗН ШР-220;;Здесь будут условия на ЗН ШР-220
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;1;ЭВ-110;Нормальное условие работы;"Условия управления выключателем ЭВ-110 ВЛ-Бытха. Режим управления ""местное"":
• ШР – 110 – 1 ВЛ Бытха (00AEE01GS011) включен или отключен.
• ШР – 110 – 2 ВЛ Бытха (00AEE01GS012) включен или отключен.
• ЛР – 110 ВЛ Бытха (00AEE01GS013) включен или отключен.
• Отсутствует сигнализация «Отключен автомат постоянного тока» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Время работы» на табло в шкафу управления коммутационными аппаратами. (для квитирования нажать кнопку «Reset») яч.01 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель не готов к включению промежуточное положение выключателя» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель блокирован. Контроль элегаза (Давление достигло 2 уровня)» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ. 
• Для включения необходимо чтобы пружина выключателя была взведена то есть должна отсутствовать сигнализация «пружина привода не заведена» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;1;ЭВ-110;Нормальное условие работы управление с дистанции;"Условия управления выключателем ЭВ-110 ВЛ-Бытха. Режим управления ""дистанция"":
• ШР – 110 – 1 ВЛ Бытха (00AEE01GS011) включен или отключен.
• ШР – 110 – 2 ВЛ Бытха (00AEE01GS012) включен или отключен.
• ЛР – 110 ВЛ Бытха (00AEE01GS013) включен или отключен.
• Отсутствует сигнализация «Отключен автомат постоянного тока» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Время работы» на табло в шкафу управления коммутационными аппаратами. (для квитирования нажать кнопку «Reset») яч.01 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель не готов к включению промежуточное положение выключателя» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель блокирован. Контроль элегаза (Давление достигло 2 уровня)» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ. 
• Для включения необходимо чтобы пружина выключателя была взведена то есть должна отсутствовать сигнализация «пружина привода не заведена» на табло в шкафу управления коммутационными аппаратами яч.01 КРУЭ – 110 кВ.
• Включен автомат F102 – «ALARMS» в яч.01 КРУЭ – 110 кВ.
• После подачи команды включить/отключить из ПТК на один из коммутационных аппаратов присоединения, управление остальными коммутационными аппаратами блокируется на 10 секунд. "
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;1;ЭВ-110;В ремонте;"Условия управления выключателем ЭВ-110 ВЛ-Бытха (выключатель в ремонте):
• Включен ЗН – 110 – ШР ВЛ Бытха (00AEE01GS022).
• Включен ЗН – 110 ЭВ ВЛ Бытха (00AEE01GS024)."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;1;ЭВ-110;С принудительной деблокировкой;"Условия управления выключателем ЭВ-110 ВЛ-Бытха (с деблокированием):
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S211 введен в положение без блокировки.
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S210 введен в положение местное."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;2;ЗН-110 ЭВ;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 ЭВ ВЛ Бытха (нормальный режим работы):
• ШР – 110 – 1 ВЛ Бытха (00AEE01GS011) отключен.
• ШР – 110 – 2 ВЛ Бытха (00AEE01GS012) отключен.
• ЛР – 110 ВЛ Бытха (00AEE01GS013) отключен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;3;ЛР-110;Нормальное условие работы;"Условия управления разъединителем ЛР-110 ВЛ-Бытха (нормальный режим работы):
• ЭВ – 110 ВЛ Бытха (00AEE01GS001) отключен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) отключен.
• ЗН – 110 ЭВ ВЛ Бытха (00AEE01GS024) отключен.
• ЗН – 110 ВЛ Бытха (00AEE01GS023) отключен. "
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;3;ЛР-110;В ремонте;"Условия управления разъединителем ЛР-110 ВЛ-Бытха (разъединитель в ремонте):
• ЗН – 110 - 2 С.Ш. (00AEE00GS023) включен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) включен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;3;ЛР-110;С принудительной деблокировкой;"Условия управления разъединителем ЛР-110 ВЛ-Бытха (с деблокированием):
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S211 введен в положение без блокировки.
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S210 введен в положение местное."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;4;ЗН-110 ЛР;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 ЛР ВЛ Бытха (нормальный режим работы):
• ЛР – 110 ВЛ Бытха (00AEE01GS013) отключен"
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-1;Нормальное условие работы;"Условия управления разъединителем ШР-110-1 ВЛ-Бытха (нормальный режим работы):
• ЗН – 110 - 1 С.Ш. (00AEE00GS021) отключен.
• ЭВ – 110 ВЛ Бытха (00AEE01GS001) отключен.
• ШР – 110 – 2 ВЛ Бытха (00AEE01GS012) отключен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) отключен. 
• ЗН – 110 ЭВ ВЛ Бытха (00AEE01GS024) отключен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-1;При перефиксации;"Условия управления разъединителем ШР-110-1 ВЛ-Бытха (при перефиксации):
• ШР – 110 – 1 ШСЭВ (00AEE03GS011) включен.
• ШР – 110 – 2 ШСЭВ (00AEE03GS012) включен.
• ШСЭВ 110 (00AEE03GS001) включен.
• ШР – 110 – 2 ВЛ Бытха (00AEE01GS012) включен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) отключен. 
• ЗН – 110 ЭВ ВЛ Бытха (00AEE01GS024) отключен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-1;В ремонте;"Условия управления разъединителем ШР-110-1 ВЛ-Бытха (разъединитель в ремонте):
• ЗН – 110 - 1 С.Ш. (00AEE00GS021) включен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) включен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-1;С принудительной деблокировкой;"Условия управления разъединителем ШР-110-1 ВЛ-Бытха (с деблокированием):
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S211 введен в положение без блокировки.
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S210 введен в положение местное."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-2;Нормальное условие работы;"Условия управления разъединителем ШР-110-2 ВЛ-Бытха (нормальный режим работы):
• ЗН – 110 – 2 С.Ш. (00AEE00GS023) отключен.
• ЭВ – 110 ВЛ Бытха (00AEE01GS001) отключен.
• ШР – 110 – 1 ВЛ Бытха (00AEE01GS011) отключен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) отключен. 
• ЗН – 110 ЭВ ВЛ Бытха (00AEE01GS024) отключен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-2;При перефиксации;"Условия управления разъединителем ШР-110-2 ВЛ-Бытха (при перефиксации):
• ШР – 110 – 1 ШСЭВ (00AEE03GS011) включен.
• ШР – 110 – 2 ШСЭВ (00AEE03GS012) включен.
• ШСЭВ 110 (00AEE03GS001) включен.
• ШР – 110 – 1 ВЛ Бытха (00AEE01GS011) включен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) отключен. 
• ЗН – 110 ЭВ ВЛ Бытха (00AEE01GS024) отключен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-2;В ремонте;"Условия управления разъединителем ШР-110-2 ВЛ-Бытха (разъединитель в ремонте):
• ЗН – 110 - 2 С.Ш. (00AEE00GS023) включен.
• ЗН – 110 ШР ВЛ Бытха (00AEE01GS022) включен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;5;ШР-110-2;С принудительной деблокировкой;"Условия управления разъединителем ШР-110-2 ВЛ-Бытха (с деблокированием):
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S211 введен в положение без блокировки.
• Яч.01 шкаф управления  ЭВ ВЛ Бытха ключ S210 введен в положение местное."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;6;ЗН-110 ШР;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 ШР ВЛ Бытха (нормальный режим работы):
• ШР – 110 - 1 ВЛ Бытха (00AEE01GS011) отключен.
• ШР – 110 – 2 ВЛ Бытха (00AEE01GS012) отключен.
• ЛР – 110 ВЛ Бытха (00AEE01GS013) отключен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;6;ЗН-110 1СШ;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 1СШ (нормальный режим работы):
• ШР – 110 – 1 ВЛ Бытха (00AEE01GS011) отключен.
• ШР – 110 – 1 Т – 5 (00AEE02GS011) отключен.
• ШР – 110 – 1 ШСЭВ (00AEE03GS011) отключен.
• ШР – 110 – 1 ВЛ Мацеста (00AEE04GS011) отключен.
• ШР – 110 – 1 Т – 1 (00AEE05GS011) отключен.
• ШР – 110 – 1 ВЛ Сочи I цепь (00AEE07GS011) отключен.
• ШР – 110 – 1 Т – 2 (00AEE08GS011) отключен.
• ШР – 110 – 1 ТН – 1 С.Ш. (00AEE09GS011) отключен.
• ШР – 110 – 1 ВЛ Альпийская (00AEE10GS011) отключен.
• ШР – 110 – 1 АТ – 1 (00AEE11GS011) отключен.
• ШР – 110 – 1 КВЛ Хоста (00AEE12GS011) отключен.
• ШР – 110 – 1 ВЛ Сочи II (00AEE13GS011 ) цепь отключен."
2;КРУЭ-110кВ;1;ЭВ-110 ВЛ Бытха;6;ЗН-110 2СШ;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 2СШ (нормальный режим работы):
• ШР – 110 - 2 ВЛ Бытха (00AEE01GS012) отключен.
• ШР – 110 – 2 Т-5 (00AEE02GS012) отключен.
• ШР – 110 – 2 ШСЭВ (00AEE03GS012) отключен.
• ШР – 110 – 2 ВЛ Мацеста (00AEE04GS012) отключен.
• ШР – 110 – 2 Т – 1 (00AEE05GS012) отключен.
• ШР – 110 – 2 ВЛ Сочи I цепь (00AEE07GS012) отключен.
• ШР – 110 – 2 Т – 2 (00AEE08GS012) отключен.
• ШР – 110 – 2 ТН – 2 С.Ш. (00AEE09GS012) отключен.
• ШР – 110 – 2 ВЛ Альпийская (00AEE10GS012) отключен.
• ШР – 110 – 2 АТ – 1 (00AEE11GS012) отключен.
• ШР – 110 – 2 КВЛ Хоста (00AEE12GS012) отключен.
• ШР – 110 – 2 ВЛ Сочи II цепь (00AEE13GS012) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;1;ЭВ-110;Нормальное условие работы;"Условия управления выключателем ЭВ-110 Т-5. Режим управления ""местное"":
• ШР – 110 - 1 Т – 5 (00AEE02GS011) включен или отключен.
• ШР – 110 - 2 Т – 5 (00AEE02GS012) включен или отключен.
• ТР – 110 Т – 5 (00AEE02GS013) включен или отключен.
• Отсутствует сигнализация «Отключен автомат постоянного тока» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Время работы» на табло в шкафу управления коммутационными аппаратами. (для квитирования нажать кнопку «Reset») яч.02 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель не готов к включению промежуточное положение выключателя» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель блокирован. Контроль элегаза (Давление достигло 2 уровня)» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ. 
• Для включения необходимо чтобы пружина выключателя была взведена то есть должна отсутствовать сигнализация «пружина привода не заведена» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ЭВ-110;Нормальное условие работы управление с дистанции;"Условия управления выключателем ЭВ-110 Т-5. Режим управления ""дистанция"":
• ШР – 110 - 1 Т – 5 (00AEE02GS011) включен или отключен.
• ШР – 110 - 2 Т – 5 (00AEE02GS012) включен или отключен.
• ТР – 110 Т – 5 (00AEE02GS013) включен или отключен.
• Отсутствует сигнализация «Отключен автомат постоянного тока» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Время работы» на табло в шкафу управления коммутационными аппаратами. (для квитирования нажать кнопку «Reset») яч.02 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель не готов к включению промежуточное положение выключателя» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ.
• Отсутствует сигнализация «Выключатель блокирован. Контроль элегаза (Давление достигло 2 уровня)» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ. 
• Для включения необходимо чтобы пружина выключателя была взведена то есть должна отсутствовать сигнализация «пружина привода не заведена» на табло в шкафу управления коммутационными аппаратами яч.02 КРУЭ – 110 кВ.
• Включен автомат F102 – «ALARMS» в яч.02 КРУЭ – 110 кВ.
• После подачи команды включить/отключить из ПТК на один из коммутационных аппаратов присоединения, управление остальными коммутационными аппаратами блокируется на 10 секунд. "
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ЭВ-110;В ремонте;"Условия управления выключателем ЭВ-110 Т-5 (выключатель в ремонте):
• Включен ЗН – 110 - ШР Т – 5 (00AEE02GS022).
• Включен ЗН – 110 ЭВ Т – 5 (00AEE02GS024)."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ЭВ-110;С принудительной деблокировкой;"Условия управления выключателем ЭВ-110 Т-5 (с деблокированием):
• Яч.02 шкаф управления  ЭВ Т – 5 ключ S211 введен в положение без блокировки.
• Яч.02 шкаф управления  ЭВ Т – 5 ключ S210 введен в положение местное."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;2;ЗН-110 ЭВ;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 ЭВ Т-5 (нормальный режим работы):
• ШР – 110 – 1 Т – 5 (00AEE02GS011) отключен.
• ШР – 110 – 2 Т – 5 (00AEE02GS012) отключен.
• ТР – 110 ВЛ Т – 5 (00AEE02GS013) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;3;ТР-110;Нормальное условие работы;"Условия управления разъединителем ТР-110 Т-5 (нормальный режим работы):
• ЭВ – 110 Т – 5 (00AEE02GS001) отключен.
• ЗН – 110 ШР Т – 5 (00AEE02GS022) отключен.
• ЗН – 110 ЭВ Т – 5 (00AEE02GS024) отключен.
• ЗН – 110 КЛ Т – 5 (00AEE02GS023) отключен. "
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ТР-110;В ремонте;"Условия управления разъединителем ТР-110 Т-5 (разъединитель в ремонте):
• ЗН – 110 ЭВ Т – 5 (00AEE02GS024) включен.
• ЗН – 110 КЛ Т – 5 (00AEE02GS023)  включен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ТР-110;С принудительной деблокировкой;"Условия управления разъединителем ТР-110 Т-5 (с деблокированием):
• Яч.02 управления  ЭВ Т – 5 ключ S211 введен в положение без блокировки.
• Яч.02 управления  ЭВ Т – 5 ключ S210 введен в положение местное."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;4;ЗН-110 ТР;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 Т-5 (нормальный режим работы):
• ТР – 110 Т – 5 (00AEE02GS013) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;5;ШР-110-1;Нормальное условие работы;"Условия управления разъединителем ШР-110-1 Т-5 (нормальный режим работы):
• ЗН – 110 - 1 С.Ш. (00AEE00GS021) отключен.
• ЭВ – 110 Т – 5 (00AEE02GS001) отключен.
• ШР – 110 – 2 Т – 5 (00AEE02GS012) отключен.
• ЗН – 110 ШР Т – 5 (00AEE02GS022) отключен. 
• ЗН – 110 ЭВ Т – 5 (00AEE02GS024) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ШР-110-1;При перефиксации;"Условия управления разъединителем ШР-110-1 Т-5 (при перефиксации):
• ШР – 110 – 1 ШСЭВ (00AEE03GS011) включен.
• ШР – 110 – 2 ШСЭВ (00AEE03GS012) включен.
• ШСЭВ 110 (00AEE03GS001) включен.
• ШР – 110 – 2 Т – 5 (00AEE02GS012) включен.
• ЗН – 110 ШР Т – 5 (00AEE02GS022) отключен. 
• ЗН – 110 ЭВ Т – 5 (00AEE02GS024) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ШР-110-1;В ремонте;"Условия управления разъединителем ШР-110-1 Т-5 (разъединитель в ремонте):
• ЗН – 110 – 1 С.Ш. (00AEE00GS021) включен.
• ЗН – 110 ШР Т – 5 (00AEE02GS022) включен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ШР-110-1;С принудительной деблокировкой;"Условия управления разъединителем ШР-110-1 Т-5 (с деблокированием):
• Яч.02 шкаф управления  ЭВ Т – 5 ключ S211 введен в положение без блокировки.
• Яч.02 шкаф управления  ЭВ Т – 5 ключ S210 введен в положение местное."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ШР-110-2;Нормальное условие работы;"Условия управления разъединителем ШР-110-2 Т-5 (нормальный режим работы):
• ЗН – 110 – 2 С.Ш. (00AEE00GS023) отключен.
• ЭВ – 110 Т – 5 (00AEE02GS001) отключен.
• ШР – 110 – 1 Т – 5 (00AEE02GS011) отключен.
• ЗН – 110 ШР Т – 5 (00AEE02GS022) отключен. 
• ЗН – 110 ЭВ Т – 5 (00AEE02GS024) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ШР-110-2;При перефиксации;"Условия управления разъединителем ШР-110-2 Т-5 (при перефиксации):
• ШР – 110 – 1 ШСЭВ (00AEE03GS011)  включен.
• ШР – 110 – 2 ШСЭВ (00AEE03GS012) включен.
• ШСЭВ 110 (00AEE03GS001) включен.
• ШР – 110 – 1 Т – 5 (00AEE01GS012)  включен.
• ЗН – 110 ШР Т – 5 (00AEE02GS022) отключен. 
• ЗН – 110 ЭВ Т – 5 (00AEE02GS024) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ШР-110-2;В ремонте;"Условия управления разъединителем ШР-110-2 Т-5 (разъединитель в ремонте):
• ЗН – 110 – 2 С.Ш. (00AEE00GS021) включен.
• ЗН – 110 ШР Т – 5 (00AEE02GS022) включен."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;;ШР-110-2;С принудительной деблокировкой;"Условия управления разъединителем ШР-110-2 Т-5 (с деблокированием):
• Яч.02 шкаф управления  ЭВ Т – 5 ключ S211 введен в положение без блокировки.
• Яч.02 шкаф управления  ЭВ Т – 5 ключ S210 введен в положение местное."
2;КРУЭ-110кВ;2;ЭВ-110 Т-5;6;ЗН-110 ШР;Нормальное условие работы;"Условия управления заземляющим ножом ЗН-110 ШР Т-5 (нормальный режим работы):
• ШР – 110 – 1 Т – 5 (00AEE02GS011) отключен.
• ШР – 110 – 2 Т – 5 (00AEE02GS012) отключен.
• ТР – 110 Т – 5 (00AEE02GS013) отключен."
2;КРУЭ-110кВ;2;ЭВ-110 ШСЭВ;1;ЭВ-110;Нормальное условие работы;"Условия управления выключателем ШСЭВ-110. Режим управления ""местное"":
• ШР – 110 – 1 ШСЭВ (00AEE03GS011) включен или отключен.
• ШР – 110 – 2 ШСЭВ (00AEE03GS012) включен или отключен.
• Отсутствует сигнализация «Отключен автомат постоянного тока» на табло в шкафу управления коммутационными аппаратами яч.03 КРУЭ – 110кВ.
• Отсутствует сигнализация «Время работы» на табло в шкафу управления коммутационными аппаратами. (для квитирования нажать кнопку «Reset») яч.03 КРУЭ – 110кВ.
• Отсутствует сигнализация «Выключатель не готов к включению промежуточное положение выключателя» на табло в шкафу управления коммутационными аппаратами яч.03 КРУЭ – 110кВ.
• Отсутствует сигнализация «Выключатель блокирован. Контроль элегаза (Давление достигло 2 уровня)» на табло в шкафу управления коммутационными аппаратами яч.03 КРУЭ – 110кВ. 
• Для включения необходимо чтобы пружина выключателя была взведена то есть должна отсутствовать сигнализация «пружина привода не заведена» на табло в шкафу управления коммутационными аппаратами яч.03 КРУЭ – 110кВ."
